46,Magura,Khulna,1049,724027,824311,918419,1091000,454583,545500,90916
47,Meherpur,Khulna,716,491917,591430,655392,750000,312500,375000,62500
48,Narail,Khulna,990,655720,698447,721668,856000,356666,428000,71333
49,Satkhira,Khulna,3858,1597178,1864704,1985959,2285000,952083,1142500,190416
50,Rajshahi,Rajshahi,18197,14212065,16354723,18484858,21607000,9002916,10803500,1800583
51,Bogra,Rajshahi,2920,2669287,3013056,3400874,3903000,1626250,1951500,325250
52,Chapai Nawabganj,Rajshahi,1703,1171469,1425322,1647521,2003000,834583,1001500,166916
53,Jaipurhat [Joypurhat],Rajshahi,965,765011,846696,913768,1042000,434166,521000,86833
54,Naogaon,Rajshahi,3436,2148053,2391355,2600157,2977000,1240416,1488500,248083
55,Natore,Rajshahi,1896,1387761,1521336,1706673,1956000,815000,978000,163000
56,Pabna,Rajshahi,2372,1919896,2176270,2523179,3019000,1257916,1509500,251583
57,Rajshahi,Rajshahi,2407,1887015,2286874,2595197,3000000,1250000,1500000,250000
58,Sirajganj,Rajshahi,2498,2263573,2693814,3097489,3707000,1544583,1853500,308916
59,Rangpur,Rangpur,16317,11997979,13847150,15787758,18868000,7861666,9434000,1572333
60,Dinajpur,Rangpur,3438,2260131,2642850,2990128,3430000,1429166,1715000,285833
61,Gaibandha,Rangpur,2179,1949274,2138181,2379255,2975000,1239583,1487500,247916
62,Kurigram,Rangpur,2296,1603034,1792073,2069273,2464000,1026666,1232000,205333
63,Lalmonirhat,Rangpur,1241,953460,1109343,1256099,1500000,625000,750000,125000
64,Nilphamari,Rangpur,1580,1348762,1571690,1834231,2204000,918333,1102000,183666
65,Panchagarh,Rangpur,1405,712024,836196,987644,1188000,495000,594000,99000
66,Rangpur,Rangpur,2368,2160346,2542441,2881086,3439000,1432916,1719500,286583
67,Thakurgaon,Rangpur,1810,1010948,1214376,1390042,1668000,695000,834000,139000
68,Sylhet,Sylhet,12596,6765039,7939343,9910219,12463000,5192916,6231500,1038583
69,Habiganj,Sylhet,2637,1526609,1757665,2089001,2640000,1100000,1320000,220000
70,Maulvi Bazar,Sylhet,2799,1376566,1612374,1919062,2324000,968333,1162000,193666
71,Sunamganj,Sylhet,3670,1708563,2013738,2467968,3091000,1287916,1545500,257583
72,Sylhet,Sylhet,3490,2153301,2555566,3434188,4408000,1836666,2204000,367333
73,total,,147570,106314992,124355263,144043697,171679000,71532916,85839500,14306583
